run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,time_microseconds
249,fork,25578357612566,71649,0,0,0,0,-1,-1,71.65
250,fork,25578357686603,66645,0,0,0,0,-1,-1,66.64
251,fork,25578357755289,75187,0,0,0,0,-1,-1,75.19
252,fork,25578357832406,66162,0,0,0,0,-1,-1,66.16
253,fork,25578357900602,82735,0,0,0,0,-1,-1,82.73
254,fork,25578357985287,76389,0,0,0,0,-1,-1,76.39
255,fork,25578358063734,72092,0,0,0,0,-1,-1,72.09
256,fork,25578358137786,78244,0,0,0,0,-1,-1,78.24
257,fork,25578358218009,70411,0,0,0,0,-1,-1,70.41
258,fork,25578358290684,65117,0,0,0,0,-1,-1,65.12
259,fork,25578358357794,68030,0,0,0,0,-1,-1,68.03
260,fork,25578358427950,74125,0,0,0,0,-1,-1,74.12
261,fork,25578358504152,72172,0,0,0,0,-1,-1,72.17
262,fork,25578358578500,75385,0,0,0,0,-1,-1,75.39
263,fork,25578358656048,81963,0,0,0,0,-1,-1,81.96
264,fork,25578358740693,82063,0,0,0,0,-1,-1,82.06
265,fork,25578358825082,82916,0,0,0,0,-1,-1,82.92
266,fork,25578358910714,89093,0,0,0,0,-1,-1,89.09
267,fork,25578359005345,114035,0,0,0,0,-1,-1,114.03
268,fork,25578359123603,74988,0,0,0,0,-1,-1,74.99
269,fork,25578359200173,75417,0,0,0,0,-1,-1,75.42
270,fork,25578359276877,74400,0,0,0,0,-1,-1,74.40
271,fork,25578359353137,75741,0,0,0,0,-1,-1,75.74
272,fork,25578359430564,72103,0,0,0,0,-1,-1,72.10
273,fork,25578359504254,74930,0,0,0,0,-1,-1,74.93
274,fork,25578359580783,78845,0,0,0,0,-1,-1,78.84
275,fork,25578359661322,65765,0,0,0,0,-1,-1,65.77
276,fork,25578359728537,66275,0,0,0,0,-1,-1,66.28
277,fork,25578359796086,69211,0,0,0,0,-1,-1,69.21
278,fork,25578359866842,62375,0,0,0,0,-1,-1,62.38
279,fork,25578359930674,64970,0,0,0,0,-1,-1,64.97
280,fork,25578359996949,75106,0,0,0,0,-1,-1,75.11
281,fork,25578360073546,63048,0,0,0,0,-1,-1,63.05
282,fork,25578360137967,63034,0,0,0,0,-1,-1,63.03
283,fork,25578360202278,65970,0,0,0,0,-1,-1,65.97
284,fork,25578360269662,62119,0,0,0,0,-1,-1,62.12
285,fork,25578360333109,60703,0,0,0,0,-1,-1,60.70
286,fork,25578360395137,68151,0,0,0,0,-1,-1,68.15
287,fork,25578360464605,63529,0,0,0,0,-1,-1,63.53
288,fork,25578360529447,62470,0,0,0,0,-1,-1,62.47
289,fork,25578360593282,64346,0,0,0,0,-1,-1,64.35
290,fork,25578360659036,63421,0,0,0,0,-1,-1,63.42
291,fork,25578360723915,64807,0,0,0,0,-1,-1,64.81
292,fork,25578360790584,80083,0,0,0,0,-1,-1,80.08
293,fork,25578360872080,115714,0,0,0,0,-1,-1,115.71
294,fork,25578360990158,99673,0,0,0,0,-1,-1,99.67
295,fork,25578361091789,80382,0,0,0,0,-1,-1,80.38
296,fork,25578361173498,74362,0,0,0,0,-1,-1,74.36
297,fork,25578361249134,62629,0,0,0,0,-1,-1,62.63
298,fork,25578361313072,88794,0,0,0,0,-1,-1,88.79
299,fork,25578361403819,71244,0,0,0,0,-1,-1,71.24
300,fork,25578361476544,74783,0,0,0,0,-1,-1,74.78
301,fork,25578361552600,111210,0,0,0,0,-1,-1,111.21
